YearTestDraft,Year,Country Name,Indicator Name,Value
5/3/2018,2018-05-3,GB,Deposits,2.00
5/3/2018,2018-05-3,DE,Deposits,6.00
5/3/2018,2018-05-3,CH,Deposits,4.00
5/3/2018,2018-05-3,OM,Deposits,2.00
5/3/2018,2018-05-3,RU,Deposits,14.00
5/3/2018,2018-05-3,HR,Deposits,3.00
5/3/2018,2018-05-3,IL,Deposits,1.00
5/3/2018,2018-05-3,IN,Deposits,1.00
5/3/2018,2018-05-3,MY,ARPPU,9.55
5/3/2018,2018-05-3,US,ARPPU,26.32
5/3/2018,2018-05-3,AR,ARPPU,7.25
5/3/2018,2018-05-3,AU,ARPPU,37.73
5/3/2018,2018-05-3,ID,ARPPU,9.55
5/3/2018,2018-05-3,GB,ARPPU,63.53
5/3/2018,2018-05-3,DE,ARPPU,8.89
5/3/2018,2018-05-3,CH,ARPPU,114.02
5/3/2018,2018-05-3,OM,ARPPU,19.10
5/3/2018,2018-05-3,RU,ARPPU,3.60
5/3/2018,2018-05-3,HR,ARPPU,6.55
5/3/2018,2018-05-3,IL,ARPPU,95.04
5/3/2018,2018-05-3,IN,ARPPU,9.50
5/3/2018,2018-05-3,MY,Depositors,1.00
5/3/2018,2018-05-3,US,Depositors,2.00
5/3/2018,2018-05-3,AR,Depositors,1.00
5/3/2018,2018-05-3,AU,Depositors,1.00
5/3/2018,2018-05-3,ID,Depositors,1.00
5/3/2018,2018-05-3,GB,Depositors,1.00
5/3/2018,2018-05-3,DE,Depositors,3.00
5/3/2018,2018-05-3,CH,Depositors,2.00
5/3/2018,2018-05-3,OM,Depositors,1.00
5/3/2018,2018-05-3,RU,Depositors,9.00
5/3/2018,2018-05-3,HR,Depositors,3.00
5/3/2018,2018-05-3,IL,Depositors,1.00
5/3/2018,2018-05-3,IN,Depositors,1.00
5/4/2018,2018-05-4,SG,Revenue,52.27
5/4/2018,2018-05-4,AR,Revenue,92.59
5/4/2018,2018-05-4,DE,Revenue,84.19
5/4/2018,2018-05-4,AU,Revenue,113.84
5/4/2018,2018-05-4,CH,Revenue,49.19
5/4/2018,2018-05-4,RU,Revenue,38.85
5/4/2018,2018-05-4,IN,Revenue,114.14
5/4/2018,2018-05-4,SG,Deposits,4.00
5/4/2018,2018-05-4,AR,Deposits,4.00
5/4/2018,2018-05-4,DE,Deposits,13.00
5/4/2018,2018-05-4,AU,Deposits,2.00
5/4/2018,2018-05-4,CH,Deposits,3.00
5/4/2018,2018-05-4,RU,Deposits,10.00
5/4/2018,2018-05-4,IN,Deposits,3.00
5/4/2018,2018-05-4,SG,ARPPU,26.14
5/4/2018,2018-05-4,AR,ARPPU,46.30
5/4/2018,2018-05-4,DE,ARPPU,12.03
5/4/2018,2018-05-4,AU,ARPPU,56.92
5/4/2018,2018-05-4,CH,ARPPU,24.59
5/4/2018,2018-05-4,RU,ARPPU,7.77
5/4/2018,2018-05-4,IN,ARPPU,57.07
5/4/2018,2018-05-4,SG,Depositors,2.00
5/4/2018,2018-05-4,AR,Depositors,2.00
5/4/2018,2018-05-4,DE,Depositors,7.00
5/4/2018,2018-05-4,AU,Depositors,2.00
5/4/2018,2018-05-4,CH,Depositors,2.00
5/4/2018,2018-05-4,RU,Depositors,5.00
5/4/2018,2018-05-4,IN,Depositors,2.00
5/5/2018,2018-05-5,MX,Revenue,32.38
5/5/2018,2018-05-5,US,Revenue,20.97
5/5/2018,2018-05-5,GB,Revenue,12.67
5/5/2018,2018-05-5,SG,Revenue,19.01
5/5/2018,2018-05-5,DE,Revenue,3.18
5/5/2018,2018-05-5,RU,Revenue,38.04
5/5/2018,2018-05-5,AR,Revenue,8.91
5/5/2018,2018-05-5,UY,Revenue,28.51
5/5/2018,2018-05-5,AU,Revenue,60.79
5/5/2018,2018-05-5,HU,Revenue,4.75
5/5/2018,2018-05-5,MX,Deposits,1.00
5/5/2018,2018-05-5,US,Deposits,1.00
5/5/2018,2018-05-5,GB,Deposits,1.00
5/5/2018,2018-05-5,SG,Deposits,1.00
5/5/2018,2018-05-5,DE,Deposits,1.00
5/5/2018,2018-05-5,RU,Deposits,8.00
5/5/2018,2018-05-5,AR,Deposits,1.00
5/5/2018,2018-05-5,UY,Deposits,3.00
5/5/2018,2018-05-5,AU,Deposits,1.00
5/5/2018,2018-05-5,HU,Deposits,1.00
5/5/2018,2018-05-5,MX,ARPPU,32.38
5/5/2018,2018-05-5,US,ARPPU,20.97
5/5/2018,2018-05-5,GB,ARPPU,12.67
5/5/2018,2018-05-5,SG,ARPPU,19.01
5/5/2018,2018-05-5,DE,ARPPU,3.18
5/5/2018,2018-05-5,RU,ARPPU,5.43
5/5/2018,2018-05-5,AR,ARPPU,8.91
5/5/2018,2018-05-5,UY,ARPPU,28.51
5/5/2018,2018-05-5,AU,ARPPU,60.79
5/5/2018,2018-05-5,HU,ARPPU,4.75
5/5/2018,2018-05-5,MX,Depositors,1.00
5/5/2018,2018-05-5,US,Depositors,1.00
5/5/2018,2018-05-5,GB,Depositors,1.00
5/5/2018,2018-05-5,SG,Depositors,1.00
5/5/2018,2018-05-5,DE,Depositors,1.00
5/5/2018,2018-05-5,RU,Depositors,7.00
5/5/2018,2018-05-5,AR,Depositors,1.00
5/5/2018,2018-05-5,UY,Depositors,1.00
5/5/2018,2018-05-5,AU,Depositors,1.00
5/5/2018,2018-05-5,HU,Depositors,1.00
5/6/2018,2018-05-6,AU,Revenue,38.00
5/6/2018,2018-05-6,CH,Revenue,201.73
5/6/2018,2018-05-6,IN,Revenue,190.08
5/6/2018,2018-05-6,AR,Revenue,138.86
5/6/2018,2018-05-6,RU,Revenue,9.97
5/6/2018,2018-05-6,DE,Revenue,22.96
5/6/2018,2018-05-6,AU,Deposits,1.00
5/6/2018,2018-05-6,CH,Deposits,3.00
5/6/2018,2018-05-6,IN,Deposits,2.00
5/6/2018,2018-05-6,AR,Deposits,6.00
5/6/2018,2018-05-6,RU,Deposits,3.00
5/6/2018,2018-05-6,DE,Deposits,2.00
5/6/2018,2018-05-6,AU,ARPPU,38.00
5/6/2018,2018-05-6,CH,ARPPU,100.86
5/6/2018,2018-05-6,IN,ARPPU,190.08
5/6/2018,2018-05-6,AR,ARPPU,34.71
5/6/2018,2018-05-6,RU,ARPPU,3.32
5/6/2018,2018-05-6,DE,ARPPU,11.48
5/6/2018,2018-05-6,AU,Depositors,1.00
5/6/2018,2018-05-6,CH,Depositors,2.00
5/6/2018,2018-05-6,IN,Depositors,1.00
5/6/2018,2018-05-6,AR,Depositors,4.00
5/6/2018,2018-05-6,RU,Depositors,3.00
5/6/2018,2018-05-6,DE,Depositors,2.00
5/7/2018,2018-05-7,AU,Revenue,60.67
5/7/2018,2018-05-7,SG,Revenue,66.53
5/7/2018,2018-05-7,NZ,Revenue,7.58
5/7/2018,2018-05-7,DE,Revenue,81.13
5/7/2018,2018-05-7,RU,Revenue,49.32
5/7/2018,2018-05-7,AR,Revenue,46.23
5/7/2018,2018-05-7,BG,Revenue,15.75
5/7/2018,2018-05-7,MY,Revenue,9.55
5/7/2018,2018-05-7,IN,Revenue,95.04
5/7/2018,2018-05-7,UA,Revenue,34.08
5/7/2018,2018-05-7,CH,Revenue,219.27
5/7/2018,2018-05-7,AU,Deposits,1.00
5/7/2018,2018-05-7,SG,Deposits,3.00
5/7/2018,2018-05-7,NZ,Deposits,1.00
5/7/2018,2018-05-7,DE,Deposits,7.00
